label,x,y,z
LH-Pu,-25.48949660561035,1.4190470090944025,0.918342513129243
LH-Ca,-14.255952380952381,7.505662020905923,9.335801393728223
LH-NAC,-9.672291296625222,8.482238010657193,-9.796625222024867
LH-EXA,-6.9421487603305785,3.347107438016529,-0.4380165289256198
LH-GPe,-18.898333333333333,-0.8983333333333333,0.07833333333333334
LH-GPi,-16.976650563607084,-4.706119162640902,-4.045893719806763
LH-SNc_PBP_VTA,-7.0331564986737405,-18.720159151193634,-13.218832891246684
LH-RN,-4.675166297117516,-18.943458980044348,-8.919068736141908
LH-SNr,-9.772941176470589,-15.909411764705883,-12.987058823529411
LH-VeP,-11.58955223880597,3.3134328358208953,-8.649253731343284
LH-HN,-2.8181818181818183,-23.393939393939394,3.242424242424242
LH-HTH,-4.196798493408663,-3.3022598870056497,-9.500941619585687
LH-MN,-1.9952380952380953,-7.395238095238096,-14.147619047619047
LH-STH,-10.636363636363637,-12.231404958677686,-7.136363636363637
RH-Pu,26.12406788377475,2.893288763178195,0.653767035227565
RH-Ca,14.947704081632653,8.706916099773242,9.788407029478458
RH-NAC,9.98892674616695,9.37563884156729,-9.479557069846678
RH-EXA,7.5,4.196356275303644,-0.15991902834008098
RH-GPe,19.65391156462585,0.3273809523809524,0.05102040816326531
RH-GPi,17.62578616352201,-3.5833333333333335,-4.00314465408805
RH-SNc_PBP_VTA,7.8,-18.419444444444444,-13.280555555555555
RH-RN,5.38135593220339,-18.595338983050848,-8.911016949152541
RH-SNr,10.537861915367483,-15.477728285077951,-12.998886414253898
RH-VeP,12.227891156462585,4.5272108843537415,-8.255102040816327
RH-HN,4.076271186440678,-22.635593220338983,3.1779661016949152
RH-HTH,4.694371152154793,-2.782321899736148,-9.513192612137203
RH-MN,2.652542372881356,-7.313559322033898,-14.254237288135593
RH-STH,11.320512820512821,-11.44017094017094,-7.17948717948718
LH-Pulvinar,-19.694108364018938,-30.3753287743293,2.9844818516570224
LH-Anterior,-7.292122538293216,-5.532822757111598,2.8566739606126914
LH-Medio_Dorsal,-5.9264326277749095,-16.62441920495612,3.5351058337635517
LH-Ventral_Latero_Dorsal,-15.754381006218203,-20.640757490107404,13.808648954211419
LH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar,-10.695203197868087,-27.05896069287142,6.104930046635577
LH-Ventral_Anterior,-11.049087321164283,-9.793537247163295,12.216329551060682
LH-Ventral_Latero_Ventral,-17.226300784034212,-18.921240199572345,1.8627940128296507
RH-Pulvinar,18.686708860759495,-29.102320675105485,3.4741561181434597
RH-Anterior,8.06686201385189,-4.6470431539691,4.6518380394246135
RH-Medio_Dorsal,5.791942604856512,-14.339403973509933,3.3002207505518766
RH-Ventral_Latero_Dorsal,15.814453125,-21.401041666666668,13.39453125
RH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar,9.419275123558485,-23.97693574958814,5.099670510708402
RH-Ventral_Anterior,12.380102040816327,-10.519387755102041,12.948979591836734
RH-Ventral_Latero_Ventral,17.71179815209666,-17.689765458422176,2.4282160625444207
LH_Hippocampus,-25.639637432631062,-21.580352768250858,-14.16911644618651
LH_Amygdala,-23.360171218915614,-4.120872401141459,-19.854667753770894
RH_Hippocampus,26.56099725673713,-20.366225593028886,-14.175972244634501
RH_Amygdala,23.98200869909055,-3.071767497034401,-19.80684064847766
Cerebellar_Region1,-15.892897214498268,-53.183155275867115,-26.15154397775501
Cerebellar_Region2,15.789979134342731,-52.17995291851693,-27.756112567545877
Cerebellar_Region3,-1.887567152724482,-61.94384753133794,-30.937537307069157
Cerebellar_Region4,-5.336486933509758,-54.072444591465434,-49.31111478663579
Cerebellar_Region5,-27.964913922155688,-67.58037050898204,-35.89993450598802
Cerebellar_Region6,18.347930394728426,-58.91353720171454,-34.028980871345404
Cerebellar_Region7,-16.087978232189975,-73.90427110817942,-37.01426451187335
Cerebellar_Region8,18.21331696480767,-75.60388167894305,-35.36858412253011
Cerebellar_Region9,33.6982117849833,-68.81412258968005,-39.17424324033179
Cerebellar_Region10,-14.598125606750802,-61.73978791725786,-44.586849376446864
