label,x,y,z
AF_L_core,-36.181209564208984,-30.690174102783203,29.344343185424805
AF_L_end-A,-37.7061767578125,10.901763916015625,23.93354606628418
AF_L_end-P,-46.632057189941406,-41.73491287231445,-1.0528159141540527
AF_R_core,33.65993881225586,-22.83218765258789,32.41365432739258
AF_R_end-A,31.97325897216797,15.048832893371582,21.667564392089844
AF_R_end-P,41.464393615722656,-50.0447998046875,8.979081153869629
AR_L_core,-33.96133804321289,-29.097816467285156,4.562360763549805
AR_L_end-I,-18.371234893798828,-25.572866439819336,-0.25612306594848633
AR_L_end-S,-31.38605308532715,-40.57057571411133,18.119190216064453
AR_R_core,34.211273193359375,-30.48853874206543,7.1878180503845215
AR_R_end-I,22.214387893676758,-25.5030460357666,0.6478610038757324
AR_R_end-S,33.99001693725586,-41.10124969482422,17.955347061157227
CBT_L_core,-18.93295669555664,-10.117205619812012,0.3740043342113495
CBT_L_end-I,-4.05795431137085,-25.94441795349121,-34.44136428833008
CBT_L_end-S,-42.92452621459961,-2.6762502193450928,21.105424880981445
CBT_R_core,20.903379440307617,-10.314871788024902,0.7712035179138184
CBT_R_end-I,5.035531520843506,-24.79326820373535,-34.522491455078125
CBT_R_end-S,43.04644012451172,-2.1933507919311523,23.630107879638672
CPT_F_L_core,-19.679216384887695,1.8945481777191162,8.752152442932129
CPT_F_L_end-I,-6.317068576812744,-17.503761291503906,-21.384965896606445
CPT_F_L_end-S,-18.219383239746094,14.628323554992676,40.060699462890625
CPT_F_R_core,22.00850486755371,-0.6866925358772278,8.986759185791016
CPT_F_R_end-I,8.343975067138672,-18.25100326538086,-22.54450225830078
CPT_F_R_end-S,20.580509185791016,11.775920867919922,41.65384292602539
CPT_O_L_core,-30.145912170410156,-30.42209243774414,4.123580455780029
CPT_O_L_end-I,-11.089957237243652,-21.495975494384766,-22.00800323486328
CPT_O_L_end-S,-27.102291107177734,-66.47755432128906,14.575730323791504
CPT_O_R_core,29.619159698486328,-26.169050216674805,3.779973268508911
CPT_O_R_end-I,11.78049373626709,-21.446123123168945,-23.717262268066406
CPT_O_R_end-S,30.60301971435547,-57.22664260864258,20.99552345275879
CPT_P_L_core,-26.00184440612793,-25.258140563964844,13.061541557312012
CPT_P_L_end-I,-12.2437162399292,-21.83963966369629,-22.667383193969727
CPT_P_L_end-S,-22.458106994628906,-42.423622131347656,49.02322006225586
CPT_P_R_core,25.480403900146484,-17.561351776123047,11.426862716674805
CPT_P_R_end-I,10.832345962524414,-21.32413673400879,-24.852916717529297
CPT_P_R_end-S,23.364412307739258,-28.76581573486328,49.26228713989258
CST_L_core,-22.382858276367188,-11.526679992675781,6.9825005531311035
CST_L_end-I,-6.994538307189941,-22.852069854736328,-32.29203796386719
CST_L_end-S,-23.486988067626953,-15.934460639953613,48.48402404785156
CST_R_core,23.404399871826172,-11.006555557250977,5.329659938812256
CST_R_end-I,7.096001148223877,-23.137432098388672,-32.67177963256836
CST_R_end-S,25.789426803588867,-15.038331985473633,46.241371154785156
CS_A_L_core,-21.719358444213867,33.509117126464844,6.498483180999756
CS_A_L_end-A,-23.32081413269043,45.455284118652344,9.258970260620117
CS_A_L_end-P,-19.942495346069336,19.485549926757812,2.984609603881836
CS_A_R_core,23.81749725341797,34.489166259765625,7.845536708831787
CS_A_R_end-A,22.925094604492188,46.328975677490234,11.107377052307129
CS_A_R_end-P,22.146135330200195,21.26368522644043,3.569603681564331
CS_P_L_core,-28.430328369140625,-39.09280014038086,21.75575065612793
CS_P_L_end-I,-29.128530502319336,-21.760311126708984,4.30592155456543
CS_P_L_end-S,-22.202112197875977,-53.083045959472656,39.2736701965332
CS_P_R_core,32.549407958984375,-42.800376892089844,17.612895965576172
CS_P_R_end-I,31.69546127319336,-23.504247665405273,3.4555561542510986
CS_P_R_end-S,29.65329933166504,-59.93412780761719,29.203351974487305
CS_S_L_core,-24.466150283813477,-0.23378726840019226,31.324609756469727
CS_S_L_end-I,-25.095401763916016,-0.8350536227226257,15.029229164123535
CS_S_L_end-S,-23.533071517944336,1.2134801149368286,46.5482063293457
CS_S_R_core,27.224870681762695,0.16784951090812683,30.352994918823242
CS_S_R_end-I,26.712236404418945,-0.11586308479309082,14.970162391662598
CS_S_R_end-S,26.765872955322266,1.1137303113937378,44.25960159301758
C_FPH_L_core,-7.008776664733887,-20.94293785095215,33.267127990722656
