label,x,y,z
Left_V1,-9.453338489301366,-84.8347512245424,2.5529775715390564
Left_MST,-41.178885630498534,-67.13636363636364,7.843108504398827
Left_V6,-14.562146892655367,-78.79661016949153,31.35946327683616
Left_V2,-9.378169014084508,-81.47253521126761,5.582834507042254
Left_V3,-15.68245655796239,-85.88859795286837,7.816472268507498
Left_V4,-27.84086692528251,-87.07868105920053,-0.15559116208466858
Left_V8,-30.363095238095237,-76.09268707482993,-12.698979591836734
Left_4,-27.858705994291153,-19.470884871550904,55.77802093244529
Left_3b,-37.95259792166267,-22.649800159872104,54.44660271782574
Left_FEF,-40.53897550111358,-5.239977728285078,51.94766146993319
Left_PEF,-48.68915801614764,0.17358708189158017,40.12975778546713
Left_55b,-48.61120957022597,-0.4428444838280904,50.5509525919362
Left_V3A,-16.476504534212697,-90.0717230008244,28.095218466611705
Left_RSC,-5.426404995539697,-37.47725245316681,20.37734165923283
Left_POS2,-9.260311871227364,-72.71227364185111,39.53495975855131
Left_V7,-24.506172839506174,-84.53950617283951,30.7679012345679
Left_IPS1,-23.92874396135266,-73.86111111111111,38.4987922705314
Left_FFC,-42.02573099415205,-60.947953216374266,-18.06608187134503
Left_V3B,-26.71475625823452,-81.22859025032938,18.618577075098813
Left_LO1,-37.56060606060606,-84.85642135642135,5.91991341991342
Left_LO2,-42.93076923076923,-86.14615384615385,-3.5760180995475115
Left_PIT,-39.10540970564837,-84.56682577565633,-13.827764518695306
Left_MT,-44.54602510460251,-72.57252440725244,9.142956764295677
Left_A1,-43.40645463049579,-23.877923292797007,12.385874649204863
Left_PSL,-58.30923507462686,-45.02751865671642,24.827891791044777
Left_SFL,-8.393045443133317,16.88990710519709,64.32500627667588
Left_PCV,-5.888464800678541,-51.17811704834605,50.88931297709924
Left_STV,-61.94233726294208,-49.42721681189134,17.201178882624294
Left_7Pm,-5.031984334203655,-68.11357702349869,53.077023498694516
Left_7m,-3.9687148744848257,-63.27444735856126,37.6566129636568
Left_POS1,-12.602229054573405,-58.28209069946195,15.798232129131437
Left_23d,-2.9030075187969926,-21.162406015037593,39.250375939849626
Left_v23ab,-3.4343396226415095,-58.39433962264151,19.316603773584905
Left_d23ab,-3.480782429649966,-42.47529169526424,31.347632120796156
Left_31pv,-10.321689259645463,-46.19760166840459,32.544838373305524
Left_5m,-6.304830287206267,-40.6233681462141,63.17167101827676
Left_5mv,-13.831626120358514,-36.20422535211268,50.26440460947503
Left_23c,-11.611275964391691,-30.712166172106826,43.231454005934715
Left_5L,-14.491981672394044,-46.12256586483391,72.67640320733105
Left_24dd,-6.816024211532335,-16.351226505256452,51.052723797387706
Left_24dv,-9.098705501618124,-2.1666666666666665,45.71440129449838
Left_7AL,-20.949507389162562,-51.33702791461412,68.08866995073892
Left_SCEF,-6.327898550724638,3.8819875776397517,58.83048654244306
Left_6ma,-18.63142857142857,3.7253416149068324,68.8376397515528
Left_7Am,-8.1539780521262,-58.480109739369,63.28600823045267
Left_7PL,-13.930395913154534,-72.28991060025542,57.952107279693486
Left_7PC,-36.61133400200602,-48.16599799398195,63.481277164827816
Left_LIPv,-30.232737208147043,-58.32314952806756,56.32861400894188
Left_VIP,-23.231380337636544,-64.0953326713009,64.32869910625621
Left_MIP,-22.40450643776824,-65.8283261802575,47.753755364806864
Left_1,-45.442460949952185,-25.99792795664648,58.16114121772394
Left_2,-37.206984071416066,-33.8357255382461,54.06432697356905
Left_3a,-34.693535672053606,-20.507883326763896,43.705360662199446
Left_6d,-34.55216501875213,-13.330889873849301,67.20848960109103
Left_6mp,-12.401531728665208,-14.336858740578654,71.35679552637977
Left_6v,-59.2302752293578,4.103669724770643,33.0308868501529
Left_p24pr,-4.051826994780015,-3.737136465324385,40.439597315436245
Left_33pr,-2.5805860805860807,10.076312576312576,29.13736263736264
Left_a24pr,-5.383471074380165,17.223140495867767,32.006611570247934
Left_p32pr,-8.203436807095343,13.951219512195122,40.12749445676275
Left_a24,-6.189673622257892,42.14205457463884,-2.9355270197966825
Left_d32,-8.305297397769516,40.54879182156134,26.106877323420075
Left_8BM,-5.602283105022831,31.122222222222224,45.538660578386605
Left_p32,-11.313929313929314,50.44282744282744,-0.49272349272349275
Left_10r,-7.425061425061425,52.58722358722359,-7.772113022113022
Left_47m,-36.48133333333333,32.849333333333334,-13.984
Left_8Av,-38.55353408615642,17.187578419071517,52.43391886240067
Left_8Ad,-23.976275968196973,26.30815593741985,44.10271864580662
Left_9m,-6.531573586827363,53.45909013749788,25.981582074350705
Left_8BL,-12.124528301886793,35.770440251572325,54.65880503144654
Left_9p,-19.79275715155204,45.49573950091296,40.11046865489958
Left_10d,-11.37430225346289,65.67345462063263,10.716456481290056
