label,atlas,x,y,z
Left_V1,glasser_cortex,-9.453338489301366,-84.8347512245424,2.5529775715390564
Left_MST,glasser_cortex,-41.178885630498534,-67.13636363636364,7.843108504398827
Left_V6,glasser_cortex,-14.562146892655367,-78.79661016949153,31.35946327683616
Left_V2,glasser_cortex,-9.378169014084508,-81.47253521126761,5.582834507042254
Left_V3,glasser_cortex,-15.68245655796239,-85.88859795286837,7.816472268507498
Left_V4,glasser_cortex,-27.84086692528251,-87.07868105920053,-0.15559116208466858
Left_V8,glasser_cortex,-30.363095238095237,-76.09268707482993,-12.698979591836734
Left_4,glasser_cortex,-27.858705994291153,-19.470884871550904,55.77802093244529
Left_3b,glasser_cortex,-37.95259792166267,-22.649800159872104,54.44660271782574
Left_FEF,glasser_cortex,-40.53897550111358,-5.239977728285078,51.94766146993319
Left_PEF,glasser_cortex,-48.68915801614764,0.17358708189158017,40.12975778546713
Left_55b,glasser_cortex,-48.61120957022597,-0.4428444838280904,50.5509525919362
Left_V3A,glasser_cortex,-16.476504534212697,-90.0717230008244,28.095218466611705
Left_RSC,glasser_cortex,-5.426404995539697,-37.47725245316681,20.37734165923283
Left_POS2,glasser_cortex,-9.260311871227364,-72.71227364185111,39.53495975855131
Left_V7,glasser_cortex,-24.506172839506174,-84.53950617283951,30.7679012345679
Left_IPS1,glasser_cortex,-23.92874396135266,-73.86111111111111,38.4987922705314
Left_FFC,glasser_cortex,-42.02573099415205,-60.947953216374266,-18.06608187134503
Left_V3B,glasser_cortex,-26.71475625823452,-81.22859025032938,18.618577075098813
Left_LO1,glasser_cortex,-37.56060606060606,-84.85642135642135,5.91991341991342
Left_LO2,glasser_cortex,-42.93076923076923,-86.14615384615385,-3.5760180995475115
Left_PIT,glasser_cortex,-39.10540970564837,-84.56682577565633,-13.827764518695306
Left_MT,glasser_cortex,-44.54602510460251,-72.57252440725244,9.142956764295677
Left_A1,glasser_cortex,-43.40645463049579,-23.877923292797007,12.385874649204863
Left_PSL,glasser_cortex,-58.30923507462686,-45.02751865671642,24.827891791044777
Left_SFL,glasser_cortex,-8.393045443133317,16.88990710519709,64.32500627667588
Left_PCV,glasser_cortex,-5.888464800678541,-51.17811704834605,50.88931297709924
Left_STV,glasser_cortex,-61.94233726294208,-49.42721681189134,17.201178882624294
Left_7Pm,glasser_cortex,-5.031984334203655,-68.11357702349869,53.077023498694516
Left_7m,glasser_cortex,-3.9687148744848257,-63.27444735856126,37.6566129636568
Left_POS1,glasser_cortex,-12.602229054573405,-58.28209069946195,15.798232129131437
Left_23d,glasser_cortex,-2.9030075187969926,-21.162406015037593,39.250375939849626
Left_v23ab,glasser_cortex,-3.4343396226415095,-58.39433962264151,19.316603773584905
Left_d23ab,glasser_cortex,-3.480782429649966,-42.47529169526424,31.347632120796156
